DEFINITION_NAME	[FILL] is/is when	ACTION	[FILL] the/a	QUANTIFIER	ADJ	AGENT/OBJECT	SCOPE	QUANITIFIER	ACTION	OBJECT/PROPERTY	WHEN/WHERE	[FILL] by/through/due to (mechanism)	HOW	[FILL] for/to	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
			a			vehicle	for something		allows; enables	that something to occur									# Q 1700		bb32-0bc0-3629-6bca	
		adding				heat	to something		kills	viruses; bacteria	in that something								# Q 923		1966-99de-7765-39de	
				some	adult	animals			lay	eggs									#751		73df-7e6e-db00-ae55	
a warm front	is when				warm	air mass			rises and passes over	a cold air mass									# Q 469, is okay?		f992-5698-76aa-c6de	
			an			airplane			flies		at high altitudes, between 5000 and 30000ft.								# Change WHEN/WHERE ?	No uses. 	3ad2-6e55-7ae1-f182	
			the			airplane			was invented		in 1903								#740	Moved to During.	5730-38d6-f120-68f8	
						Alexander Graham Bell			invented	the telephone	in Boston								#575		2c3e-5dac-b4e5-5bc8	
						amphibians			hatch		from eggs								#434		37af-5fb1-9a80-3548	
					young	amphibians			breathe							through	gills		#434		359d-9e24-9685-50ca	
					adult	amphibians			live		on land								#434		4e5c-f633-ddba-96d9	
					young	amphibians			live		in water								#600		ad33-c9d9-8287-cba0	
						amphibians			undergo	metamorphosis									#600		710f-aa1b-106c-0fef	
			an		electric	car			uses	less gasoline than a regular car									#1239		8948-37e5-94f2-ca16	
panting	is when		an			animal			breathes				quickly			through	the mouth		# Switch FOR/PURPOSE and BY/THROUGH and add purpose for this entry?		e7c9-77b1-0847-9902	
exhaling 	is when		an			animal			expels	air	from the lungs										ef31-4d23-6b78-5f80	
shivering	is when		an			animal			creates	heat		by	shaking	to	keep the body warm				# 567		3b42-d1e1-9cb2-7b6b	
panting	is when		an			animal			hangs	its tongue	out of its mouth			to	adjust to hot temperatures				#302		709d-6f18-874c-f16a	
			an			animal			knows how to do 	instinctive behaviors	when it is born								# Q 632		277a-fd34-e20b-0e05	
hunting	is when		an			animal			kills	another animal				to	eat that animal				# Q 1789		e1e4-0797-e545-e336	
hunting	is when		a			human			kills	an animal				for	food; recreation			in the wild	# Replaces 54ee-e44b-06a1-c4cf		1593-f053-a8da-abc1	
				some		animals			shed	fur	in warm weather										f1a3-386d-38d5-de6d	
migration	is when					animals			move	to different locations	in an annual cycle								# 46		4d20-3294-ea14-e444	
				all		animals			breathe										#511		e5c6-c007-ec45-6843	
				most		animals			avoid	bad odors									#512		9a8e-ea9a-3158-05d6	
						animals			taste	flavors									# Q 125		2475-8eec-dc25-695b	
						animals; living things			live and feed		in their habitats; near their habitats								# Q 126		3e03-880a-9209-2d6c	
						animals			adapt to	their environment									#741		9714-8e2a-f6fb-91e4	
				some		animals			move quickly					to	escape predators				#742		e4af-0fe7-8fbf-a009	
echolocation	is when			some		animals			detect	objects		by	hearing echoes			by	emitting sound		# Q 910		77e3-2567-0b8a-e691	
						animals		usually	distance	themselves	from humans								#1001		7652-630e-9dc2-c3d9	
						animals			learn	some behaviors						from	watching their parents		#1026		e9f6-16cc-4443-acc7	
				some		animals			have	offspring		by	laying eggs						#1068		e1b9-baf2-f4bd-c847	
					aquatic	animals; plants			live		in bodies of water								#266		2125-ab14-605b-2b8c	
						arteries; veins			transport	nutrients; water; minerals	throughout the body								#1302		a885-71a9-2e19-c391	
					magnetic	attraction			pulls	two objects	together								#251		39b0-792c-8e27-6758	
					baby	animals			become	adult animals									#164		0cfa-af72-38ef-3394	
					good	bacteria			grow on	the skin; a human's skin									# Q 1569		7f29-f89e-48de-2b22	
			a			bat			births; gives birth to	live young									# Q 683		8a30-65b6-7d7e-5aa2	
						birds			build	nests	in the spring								#721		ef70-ad11-607b-edd7	
					female	birds			sit	in nests									#2026		d12c-45b3-893a-484c	
						birds			lay	eggs									#2084		d579-8b7c-067c-da38	
						birds	with beaks of different shapes		eat	different foods									#1807		4a2b-185c-d16f-361d	
						blood			absorbs	oxygen	in the lungs								#1207		3be5-7bd0-e7f9-b068	
					white	blood cell			destroys	pathogens	in the body								#1230		4bfa-70f5-4c5f-1484	
			a			body of water			meets	land	at a beach								#340		b130-8df0-86af-43ea	
touching	is when		a			body part			makes contact with	the surface	of an object								# 1107		7c06-acbe-198f-0202	
			an		animal's	brain			controls	that animal									# Q 14, okay? 		4622-178e-e8e0-8022	
						brakes			touch	the wheels of a vehicle	when activated								#2052		9b86-7f8b-3dd3-f9e4	
			a			cactus			stores	water									# 1002		a74b-0f41-283a-36ff	
					large	canopies; trees			block	sunlight	from reaching the ground										ce2f-df98-e9c7-37ac	
			a			car			moves		on a road								#157		010c-39f3-1b7a-7408	
the greenhouse effect	is when					carbon	in the air		heats	a planet's atmosphere									#1018		b8bd-0f06-439a-5721	
						carpet			absorbs	sound									#1009		24ec-0ce6-3909-ccf6	
			the			cell nucleus			controls	many of the functions	of the cell								# 776		d916-5924-be80-0d88	
				all		cells			perform	cellular respiration									# Q 79		849d-06ff-794e-6880	
cellular respiration	is when					cells			break down; extract energy from	food				to	produce energy				#521		c1cd-99dc-b931-3a4f	
						Charles Darwin			studied	plants; animals									#1043		b041-a123-9784-787f	
						chickens			cluck												bc64-518b-7a8b-fdab	
			a			chipmunk			eats	acorns									#1363		ac29-64bc-8dfb-4080	
			a			computer			controls	a robot									# 694		df77-f13b-3062-2718	
			a			consumer		can not	produce	its own food									#1316		6bf8-4a05-d7b7-8bc0	
			a			container			contains	objects; material; substances									#421		490c-5be7-2ff7-4bf2	
		cooking				food	to proper temperatures		protects against	food poisoning		by	killing bacteria and viruses						# Q 923		a53c-6387-9cc9-d3e1	
						crop rotation			renews; protects	soil									# 458		123d-8a65-3831-3fa1	
crop rotation	is when				different	crops			are planted	on a field	in different years								# 552		3f22-4f93-27fe-9ff0	
			a			cycle			happens; occurs	repeatedly									# Q 654	Moved to Frequency	c13b-55d9-7641-97c6	
 				many	desert	animals			want	the water	stored inside a cactus								# 1201		64ab-a5b7-0dd3-fe65	
			the			digestive system			digests	food				for	the body				# Q 70		af05-e5d3-92da-de30	
			a			disperser			disperses										#1806		1f01-c949-a5e3-ab0c	
				some		dogs			are trained	to bark; to scratch at the door	when they want to go outside								# Q 1591		e235-691b-277c-0115	
						eagles			eat	rabbits									#1076	Moved to Proto-Consumers	5bff-dec5-509f-bc99	
			the			Earth			rotates on	its axis											395b-4954-311f-4749	
			the			earth			has more mass	than the moon									#529		6239-5408-630b-6f9d	
			the			Earth			revolves around	the sun									#824		5471-05b0-00bd-1669	
			the			Earth			absorbs	more energy than it loses									#1683		fdf7-4e8f-a5ef-1fcd	
						earthworms			create	tunnels	in soil								#254		eccc-ccef-2b84-af94	
						eggs			become	baby animals									#164		c284-c764-7abd-4e68	
			an			electron microscope			creates	a picture									# 1260		5de7-6e05-8a99-8d54	
			an		organism's	environment			affects	that organism's acquired characteristics									# Q 633		298a-b710-adc5-7d76	
						events			occur		at a specific place; at a specific time; with a specific frequency								# Q 1164		8bd2-dcf4-9b89-5e77	
					extreme	heat and pressure			compact	sediment into sedimentary rock									# Q 1783		3f61-74b3-1327-f313	
			a			factor			impacts	something									#2050		b94c-5bde-8d46-29de	
					fake	plants			use 	less water than real plants									# Q 2153		dcd7-6da5-3ef6-3998	
						fall			follows	summer									#168		95a8-f71f-4e81-3332	
			a			farmer			farms	crops; plants				for 	food				# Q 37		4499-c264-9f56-7549	
						feeders			attract	animals	to a location								#844		24ab-b403-fcec-d327	
						fire			destroys	plants	in an environment								# Q 1536		5271-6a22-214e-2847	
						fish			lay	eggs									#552		70b7-f5bc-ff13-10f9	
						fish			eat	insects									#1215		8735-9116-c537-0768	
					remora	fish			eat	food		by	attaching themselves to sharks and eating the food left behind						#1235		6528-a45c-1abe-2e52	
			the		floating	arrow	on a compass	always	points towards	the north									# Q 995		7058-f855-3d78-7d7f	
wildfire	is when		a			forest			catches	fire									#557		e286-2d36-370a-0d17	
						foxes			eat	rabbits									#805		44d8-65f9-148f-b060	
						friction			acts to counter	the motion of two objects	when their surfaces are touching								# 907, correctness?		512a-c5ef-bcba-905d	
						friction			exerts	force	on moving objects								# Q 982		3518-79e5-2f89-2bc0	
			a			frog			eats	insects									#896		2b35-626a-8c37-2225	
						frogs			lay	eggs									#164		e2c1-2bf2-b9f6-97b9	
						Galileo Galilei			made improvements	to the telescope				to	make better observations of celestial bodies				#872		34b1-1886-e578-7fe0	
			a			gas			assumes; expands to fill; takes	the shape of its container										DEPRECATED	d9c0-ee98-aa9a-5134	
			a			gas			assumes; expands to fill; takes	the shape and size	of its entire container									DEPRECATED	5cff-bf38-1231-2838	
			a			glacier			moves				slowly								cfd6-1d2a-381a-2ff1	
					grey	clouds			appear		before precipitation								#344		457f-3767-5871-6ec8	
			the			heart			pumps	blood	to the rest of the body								#464		4946-32e7-a9ee-d5ed	
winter	is when		a			hemisphere			is tilted away from	the sun									# 218		9a54-fdc1-b863-633a	
summer	is when		a			hemisphere			is tilted towards	the sun									# 432		5949-8ca0-0ddf-811b	
farming	is when		a			human			plants	crops				for	food				# Q 454		e9e1-2164-9acf-637a	
fishing	is when		a			human			kills; catches	fish				for	food				#564		86ed-0d8e-531e-34e3	
baking	is when		a			human			makes	food		by	adding heat						#595		b161-e6d7-f3ae-64bf	
talking	is when		a			human			produces	sound				to	communicate				#1404		b7ef-37ee-c098-3cab	
			a			human			wears	gear									#2003		e58f-43aa-6175-9492	
logging	is when					humans			cut down	trees; forests				for	wood						a65f-d177-962c-f0fe	
						humans			ride	vehicles									# Q 310		08a9-b262-9252-9125	
						humans			drink	beverages									# Q 125		3141-c707-066a-00e2	
					often	humans			discard	appliances	after using those appliances								#440		af78-4cfe-072e-5e89	
