PROCESS_NAME	[FILL] is when	ACTOR/THING	PROPERTY/OBJECT	[FILL] can/can be	QUANTIFIER	VERB	PATIENT	[FILL] for	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
		electromagnets		can be		powered				by	electricity			# first row -- check if pattern matches for replacing ACTION relation from COLING paper		4ca4-9068-7f5a-d63a	
swimming	is when	humans; animals		can		move						in water		# general action/definition?		e16d-34f6-506f-e5b0	
		eyes		can		sense;detect	light energy	for	seeing							fdba-70d0-fcc6-e529	
literacy	is when	humans		can		read and write										63ed-2a75-b0ec-771b	
	the	brain		can		control	animal body			through the	nervous system					90b2-edef-d99f-687c	
		two people	that are far apart	can		communicate				through a	telephone			Actor/thing is complex?		c04b-7952-e97c-e5a7	
		living things		can	all	reproduce								# add a qualifier column?		1ef5-5d4e-fdf8-9d2a	
		shelter		can		protect	animals;humans					from weather		# partially duplicated in USEDFOR table?		489e-9103-cfb3-9d2e	
		mechanical energy	exerted by an object	can		be used to push or pull	another object							# 1344		77b1-b251-ee0c-a4b4	
		the shape 	of an object	can be		discovered				through	feeling that object; touching that object			# Q 132		064c-653b-1ec4-4e84	
		a human		can		pedal	a bicycle							# Q 135, is okay? 		c4de-157a-1fb4-0ec8	
flexibility	means the	shape	of a material; of an object	can be		easily changed								# Q 452		ac40-d9c4-86a2-f4bb	
	the	color	of an object	can be		discovered				by	looking at that object			# Q 132		a10f-b463-32a7-a229	
recyclable	means a	material		can be		recycled								# Q 447		f450-c52a-cebe-ac01	
	the	properties	of something	can be		used to identify; used to describe	that something									8661-5700-67ef-4ac8	
	the	composition	of something	can be		used to identify	that something							# Q 463		f245-df47-6b3e-b4f6	
		large fins		can be		used to move quickly						through water		# Q 6		c46f-1a47-b825-6df0	
		shale		can be		metamorphosed	into slate			by	increased pressure			# Q 76		f700-0f5f-be06-c22a	
		organisms		can be		preserved	in sedimentary rock							# Q 77		198d-4495-e5b7-1477	
helping	means	something		can be		done; completed	more easily; better							# Q 192		b7ec-6a4c-7e51-eb10	
