[FILL] a	QUANTIFIER	OBJECT	[FILL] is formed by	AGENT	VERB	PATIENT	[FILL] for	FOR/PURPOSE	[FILL] by	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
	most	canyons	are formed by		flowing	rivers				through erosion	over long periods of time				95de-5e9c-79e0-c861	
		sedimentary rocks	are formed by	sediment; materials that settle	compacting; cementing						together		# 495		8069-7f81-d181-7a04	
	all	minerals	are formed by	natural geological processes											9b16-01cf-5fdb-ae1e	
the		Grand Canyon	was formed by	the Colorado River	flowing						over long periods of time		# 622		d308-a04a-d030-5c6c	
		igneous rocks; minerals	are formed by	magma; lava	cooling; crystallizing										d9aa-4785-cdb4-ac25	
	usually	craters on planets; craters on moons	are formed by	asteroids;meteoroids	impacting	that planet or moon's surface							# 1155, needs refactoring		a7f1-5498-c4dd-7392	
the		Great Lakes	were formed by	glaciers	moving over	the ground							# Q 462, change patient?		ffc7-259e-e733-5c0c	
		clouds	are formed by	water vapor	rising into colder regions of the atmosphere and condensing								# Q 469		3c3a-0eac-88e6-b000	
		soil	is formed by	weathering									# Q 33		e058-7f0b-067c-4da4	
		sand dunes; arches	are formed by the	wind	transporting and depositing	sand							# Q 49		fb26-f5aa-51d2-7866	
		fog	is formed by	water vapor	condensing						in the air		#436		5212-c2af-5c9e-8173	
		plasma	is formed by	electrons	separating	from atoms					in stars		#545		1cf8-9176-21d7-92ba	
		fossils	are formed when	layers of sediment	cover	the remains of organisms					over time		# Q 664		b0d4-928e-e799-54a6	
		dew	is formed when	water vapor	condenses; cools						over night		# Q 218		9f14-a567-d745-cbb2	
a		electromagnet	is formed by		attaching	an iron nail wrapped in a copper wire					to a circuit		#1086		cb9d-9db9-4d61-d79f	
a		cavern	is formed by	carbonic acid in groundwater	seeping through	rock					and dissolving limestone		#1089		98b4-c34e-52df-8abf	
a		suspension	can be formed by		mixing together	substances					that repel each other		#1090	Low quality. Solubility is mostly determined by polarity.	bcb8-5d09-22ba-d79f	
a		solution	can be formed by		mixing together	liquids							#1091	LOW QUALITY. Perhaps too vague.	cf58-7d67-7565-02fc	
a		delta	is formed by	sediment	depositing	at the mouth of a river			by	water fanning out			#1201		fa6f-ce79-52bc-2ba1	
an		island	is formed by	lava	being released; cooling	on the ocean floor					over time		#1261		7a40-4610-fe1f-42fa	
a		kettle	is formed when	chunks of ice left by glaciers	melt								#1326		fd00-6ac1-b7ce-d4d6	
a		valley	is formed by	a river	flowing								#1328		b544-316a-4f6a-1791	
		mountains	are formed by	earthquakes; volcanoes; plate tectonics									#1347		97d0-5256-918b-cee7	
	sometimes	piles of rock	are formed by 	melting glaciers	depositing	rocks							# Q 1138		cb6d-119e-cb76-09a7	
		fossil fuels; fossils	are formed from	dead organisms							over time		#1397		18f3-bb02-623d-b420	
		soil	is formed by	rocks	eroding								#1439		c59e-0070-96f7-48b8	
		sediment	is formed by	weathering									#1620		5645-74d9-19c8-9dc4	
a		rainbow	is formed by		refraction	of light			by	separating light; splitting light	into all different colors		# Q 1579		c7a2-2ef3-cee5-a093	
		oil	is formed by	layers of sediment	pushing down	on decomposing algae							#1804		c55d-d09c-91b9-a73c	
a		plateau 	is formed by	a buildup of cooled lava									# Q 1734		2f74-5c89-2c6c-dcfb	
		limestone	is formed by	water	evaporating from	a solution of water and minerals							# Q 1735		b42d-1910-33f9-952b	
a		sandbar	is formed by	water	moving	sediment					downstream		#1828		1dbc-76a8-e377-f8c3	
	some	deep lakes; bowl-shaped lakes	are formed by	glaciers									# Q 1779		45a0-1086-16da-44ef	
the		Alps	were formed by	rock	folding								#2000		3dc6-ceb8-e305-24f4	
the		Appalachians	were formed by	rock	folding								#2000		3e73-bd8b-3ffb-d9d4	
the		Himalayas	were formed by	rock	folding								#2000		adbd-a12d-f086-3af2	
		beads of water	are formed by	water vapor	condensing								#2008		3b7d-6a35-e182-1176	
		stalactites	are formed by	deposition									# Q 1948, put more knowledge in the row		aa44-693c-697b-f10c	
		natural gas	is formed by	heat and pressure	acting on	the remains of prehistoric animals							# Q 1959		1d61-22c7-c31a-e8cc	
		new land	can be formed by	volcanoes	erupting				by	lava cooling					5cf8-8920-4274-dde5	
a		glacial depression	is formed by	a glacier									#2322		fc0a-5426-9562-7980	
		iron sulfide	can be formed by		heating	a mixture of powdered iron and sulfur							# Q 2447		f538-8222-cf3c-8400	
		index fossils	are formed from	species	that existed						for a relatively short time		#2353		7195-6887-7136-14df	
	many	types of molecules	can be formed by	carbon					with	covalent bonds			#2364		90e3-8393-1331-ca12	
		lakes	are formed by	precipitation and runoff									# Q 2498		01b9-c0ac-f759-aa89	
		chemical bonds	are formed by		chemically combining	elements; atoms; molecules							# Q 2706		852e-d558-aefd-b057	
