[FILL] a/the	QUANTIFIER	OBJECT	QUALIFIER	[FILL] is made of	VALUE	MATERIAL	[FILL] for	FOR/PURPOSE	[FILL] by	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
	all	living things		are made of		cells					according to the cell theory		#549		1e00-1b04-66ee-0a91	
an		alloy		is made of	two or more	metals									0e62-579f-977d-4046	
the	Earth's	atmosphere		is made of	78 percent	nitrogen					by mass		#1323		18df-4496-f1cf-d9b1	
		brass		is made of		copper and zinc							# Q 65		4daa-873d-0753-0b46	
a		burner		is made of		metal							#1084		7750-9e0a-ea70-dbc3	
a		canyon		is made of		rock							#359		9752-f5f1-f7af-ff0e	
		carbohydrates		are made of		sugars									93e8-b9fd-8d3a-5601	
		clouds		are made of		water vapor; rain droplets									9084-fc84-0b6a-a720	
a		community		is made of	many types of	organisms					in an area		#535		aeb7-e5f7-0e84-12fd	
a		complex machine		is made of	more than one	simple machine							#743		1127-1d6b-54d0-d6ec	
the		continental shelf		is made of		sediment							#489		6082-9118-c751-6e77	
		Earth		is made of		rock							# Q 1511		7b54-c9f1-86da-860b	
		Earth's surface		is made of		rock							#2182		4e22-86f8-32a0-7375	
		electrical signals		are made of		electrical energy							# Q 1957		9fdf-4f3f-bffe-4d9e	
		electricity		is made of		moving charges; moving charged particles							#1800		6952-5428-3a54-cea9	
		ethanol	sometimes	is made of		corn							#1219, made from		3d75-5f69-8d42-ccec	
an		eyeglass lens	is often	made of		glass							#1436		d298-28e7-40fc-3b25	
a		food web		is made of		organisms					that consume other organisms; that produce their own food		# tricky, this one is talking about a model.  how do we represent this?		5b69-37eb-8085-8e85	
		furniture	often	is made of		wood							#790		9486-6e1f-f8b7-e8b8	
a		glacier		is made of		ice									b901-aa66-c858-54e7	
a		glacier		is made of	a large buildup of	ice; snow							# Q 920		45f8-9d9a-e897-a211	
the		heart	is mostly	made of		muscle							# Q 1562		2873-6fdd-acf5-f314	
		iron nails		are made of		iron									b9dd-961e-269e-aa5d	
		light bulb filaments		are made of		tungsten					usually				7c54-4231-0b22-1768	
		light pollution		is made of		light							# <energy> pollution is made out of <energy>. e.g. sound pollution is made of sound energy.		d780-ac6a-0037-1b59	
a		living thing		is made of		cells							#549		6f96-e0e9-ed70-4dbc	
a		magnet	is often	made of		magnetic metals; ferromagnetic metals									1389-2bb5-b15b-83a7	
		materials		are made of		matter							# Q 1110		4cf8-b1e2-9544-c98c	
		matter		is made of		molecules							#533		e2d6-bafd-aaaa-efd3	
		matter; materials; substances		are made of		atoms; particles									1758-a1b7-4083-9e99	
		metal fork		is made of		metal	for	eating					# Make rule		dc33-a410-c511-acad	
a		mountain		is made of		rocks; soil							#288		08ba-3817-d41e-1db2	
		nerves		are made of		nerve cells							# Q 1564		cdba-a39e-8a33-7324	
a		nest		is made of		branches							#2026		72f9-9ce2-3aae-5fc6	
a		newspaper		is made of		paper							#1835		674c-94e4-e533-3536	
		objects		are made of		materials; substances; matter									80a3-454d-e8e0-3de2	
		odor		is made of		gas					in low concentrations		#412		1baf-ecbe-1359-5aed	
an		organism		is made of		organic matter							#573		4a84-1ddc-0a0c-3839	
a		paper clip	is often	made of		magnetic metals; ferromagnetic metals							# Q 1131		4e29-cc71-c464-bcb5	
		peat		is made of		decaying vegetation				compacted by soil	in a swamp over a long period of time		# Q 1137		63dd-a852-6c17-7b9a	
a		plain		is made of		a flat land surface							#1342		cc01-9fbb-f4cc-3fb0	
a		plant		is made of		plant cells							#289		1e1d-6ed6-25e3-5f30	
a		plastic spoon		is made of		plastic							# Q 134		8b02-862f-518d-c59b	
a		population		is made of	one type of	organism					in an area		#535		6937-c405-6853-efb2	
		pot;pan;frying pan		is made of		metal	for	cooking							a955-8642-4044-5a48	
a		quartz		is made of	six-sided transparent	crystals							#536		8d0a-7ce6-0ab0-d9f0	
the		rainbow		is made of	all different	colors							#1024		f5f9-0163-0873-51ba	
a		riverbank		is made of		soil							#1035		ef09-d826-3c2b-205c	
		rock		is made of		minerals									434b-e8da-e5c7-d52e	
a 		rubber eraser		is made of		rubber 							# Q 134		45f8-aa77-a322-62d5	
		sand		is made of	very small	rocks; minerals									6bdb-a6bb-4fe3-15cc	
		sand		is made of	small	particles							#727		2651-d09d-1434-a5a6	
		sand dunes		are made of		sand									6424-1a31-0f40-5b1b	
		sandpaper		is made of		sand					glued to the surface of paper		# refactor?		15aa-4b8f-b148-a827	
		sedimentary rocks		are made of	small	particles							#435		07cd-40e2-cfed-90ab	
		skeletal system		is made of		bones							# add a fill column out front? 		1868-9bad-b9cc-1302	
		sleeping bags	usually	are made of		insulators							#1027		5061-4f39-030f-89fa	
		sleet		is made of		ice							#1361		2dfb-6788-d488-9db9	
		society		is made of		humans							#2118		ab30-97e0-586f-d18a	
a		soda can		is made of		aluminum							#1226		1e72-b6e0-1d37-50bc	
		soil		is made of	very small	rocks; minerals							# Q 33		17a3-86be-a2ea-bdb8	
		soil		is made of		solid particles							#563		cb4c-e3f2-22b6-3fa4	
a		solution		is made of		one substance dissolved in another substance							# Q 1176		f688-9579-bfb6-61d1	
a		spoon	sometimes	is made of		metal							# 1080		13cc-db5a-cd32-130d	
a		star		is made of		gases							# Q! 1511		4916-83af-ba89-9fc8	
		substances		are made of		matter									3395-b5a2-ae2d-39c2	
		sunlight		is made of	all	colors					in the rainbow		#731		d021-8931-f6a6-1ede	
the		surface of the Earth		is made of	70%	ocean							#248		eacd-3358-450a-87db	
a		thermal conductor		is made of		materials that conduct thermal energy							# Q 239		a49d-0411-7e72-17d8	
		waves		are made of		moving water							# Q 644		fb40-15de-e88b-9743	
a		wax crayon		is made of		wax							# Q 134		cfdd-9d59-af2b-ed66	
a		wire	is usually	made of		metal							#1873		5b47-bd0e-73fe-67d6	
		water		is made of		hydrogen and oxygen							# Q 2225		d3bf-21a7-2800-5223	
a		compound		is made of	two or more	elements				that have been	chemically combined		# Q 2228		6bb0-ea31-6fee-5e77	
		sodium chloride	is always	made of	chemically combined	chlorine and sodium							#Q 2228		44d0-0720-a568-afe0	
		pliers		are made of	two	levers	for	gripping					# Q 2280		d238-f016-b9bb-dfd1	
a		car fender	is sometimes	made of		metal									63cd-d7c5-b284-029b	
		organs		are made of	different types of 	cellular tissues							# Q 2410		77c1-521e-9130-94a2	
	different	cellular tissues		are made of	different types of 	somatic cells							# Q 2410		201e-2c79-1f50-1838	
the		polar ice caps		are made of		ice							# Q 2427		cb0f-c249-986a-bc7c	
the	Earth's	atmosphere		is made of	23.133 percent	oxygen					by mass		# Q 2443		52a9-1c58-ae78-1d67	
the	Earth's	atmosphere		is made of	1.288 percent	argon					by mass		# Q 2443		67f7-1d8d-dcef-b743	
the	Earth's	atmosphere		is made of	.053 percent	carbon dioxide					by mass		# Q 2443		b110-974a-3fbc-a21a	
the	Earth's	atmosphere		is made of	0.0000038 percent	hydrogen					by mass		# Q 2443		7051-de21-70b0-8c49	
